time,open,high,low,close,volume,spread,real_volume
2015-01-01,309.2,310.46,307.97,308.31,4091,0,0
2015-01-02,308.3,310.83,305.97,308.84,9181,0,0
2015-01-05,258.41,274.0,258.15,271.25,18861,0,0
2015-01-12,261.16,266.42,257.55,261.22,17681,0,0
2015-01-13,261.11,261.76,210.06,221.01,63301,0,0
2015-01-14,221.34,224.81,146.47,165.71,101051,0,0
2015-01-15,165.7,227.82,162.52,204.48,91821,0,0
2015-01-16,204.47,217.08,192.05,202.14,47731,0,0
2015-01-19,205.43,214.92,201.94,210.18,21211,0,0
2015-01-20,210.17,210.83,198.58,205.32,19651,0,0
2015-01-21,205.3,222.9,199.01,221.38,31701,0,0
2015-01-22,221.39,233.0,220.11,227.67,19501,0,0
2015-01-23,227.68,234.0,219.67,229.94,26401,0,0
2015-01-26,248.94,303.28,248.71,268.38,89701,0,0
2015-01-27,268.44,272.53,237.11,257.68,60081,0,0
2015-01-28,257.67,260.27,219.95,229.95,52921,0,0
2015-01-29,229.96,235.93,214.01,229.43,43311,0,0
2015-01-30,229.44,238.83,221.52,224.67,29851,0,0
2015-02-02,221.15,235.89,215.81,231.81,29501,0,0
2015-02-03,231.82,238.28,217.89,221.74,30701,0,0
2015-02-04,221.75,224.98,214.98,220.93,19181,0,0
2015-02-05,220.95,222.99,206.3,210.64,23071,0,0
2015-02-06,210.63,219.53,204.63,217.57,22861,0,0
2015-02-09,217.87,219.01,210.0,214.59,14741,0,0
2015-02-10,214.62,216.0,209.06,214.59,13851,0,0
2015-02-11,214.74,217.43,212.0,213.84,9961,0,0
2015-02-12,213.85,217.06,212.14,217.01,6681,0,0
2015-02-13,217.1,236.01,215.38,229.17,29191,0,0
2015-02-16,229.33,235.21,223.4,228.36,22651,0,0
2015-02-17,228.35,242.24,226.11,238.79,21821,0,0
2015-02-18,238.93,240.03,226.22,231.12,19811,0,0
2015-02-19,231.13,239.01,229.6,234.66,15291,0,0
2015-02-20,234.64,242.93,233.79,239.64,13281,0,0
2015-02-23,230.2,235.0,226.32,233.32,14241,0,0
2015-02-24,233.33,234.96,230.12,233.77,9241,0,0
2015-02-25,233.76,234.6,230.03,231.88,7261,0,0
2015-02-26,231.9,232.46,228.09,230.74,7581,0,0
2015-02-27,230.78,250.06,230.22,249.14,21321,0,0
2015-03-02,251.49,271.09,249.69,269.51,24781,0,0
2015-03-03,269.5,278.95,259.92,275.08,32481,0,0
2015-03-04,275.09,277.87,258.95,264.74,27491,0,0
2015-03-05,264.73,274.43,256.21,266.99,34181,0,0
2015-03-06,266.98,270.08,263.09,266.77,13771,0,0
2015-03-09,268.99,283.0,268.17,281.01,17641,0,0
2015-03-10,280.96,290.6,277.98,283.78,22421,0,0
2015-03-11,283.88,290.78,279.84,290.06,15701,0,0
2015-03-12,290.07,291.92,283.68,289.32,15731,0,0
2015-03-13,289.33,289.56,277.0,282.63,18421,0,0
2015-03-16,280.57,288.25,279.81,283.2,14251,0,0
2015-03-17,283.19,286.78,275.93,276.8,15311,0,0
2015-03-18,276.75,278.0,243.06,250.74,43871,0,0
2015-03-19,250.71,259.94,243.03,255.71,28821,0,0
2015-03-20,255.75,259.33,252.08,256.05,14201,0,0
2015-03-23,262.03,263.88,253.53,259.95,18621,0,0
2015-03-24,259.96,260.52,236.3,239.14,27621,0,0
2015-03-25,239.18,243.9,230.44,240.82,25281,0,0
2015-03-26,240.83,247.66,239.06,243.17,14861,0,0
2015-03-27,243.18,244.36,239.21,242.99,10111,0,0
2015-03-30,236.1,242.81,230.53,241.95,18711,0,0
2015-03-31,241.97,242.59,232.59,238.06,16091,0,0
2015-04-01,238.05,240.82,233.55,240.69,11901,0,0
2015-04-02,240.45,250.95,238.63,247.25,17841,0,0
2015-04-03,247.36,250.62,245.24,248.85,9271,0,0
2015-04-06,254.71,256.39,248.02,249.37,11401,0,0
2015-04-07,249.38,250.57,246.14,247.78,7261,0,0
2015-04-08,247.77,248.8,237.22,238.71,14101,0,0
2015-04-09,238.72,240.3,232.54,237.54,14341,0,0
2015-04-10,237.53,237.9,225.28,228.69,16401,0,0
2015-04-13,230.25,230.87,213.77,216.87,20821,0,0
2015-04-14,216.86,218.22,206.04,209.79,17291,0,0
2015-04-15,209.75,216.62,208.99,216.62,8391,0,0
2015-04-16,216.63,223.66,216.51,221.45,9481,0,0
2015-04-17,221.44,222.18,214.21,216.82,11321,0,0
2015-04-20,216.54,220.51,215.44,218.28,8401,0,0
2015-04-21,218.27,229.82,217.93,229.73,12321,0,0
2015-04-22,229.82,232.41,225.7,227.07,10671,0,0
2015-04-23,227.06,230.23,226.59,229.69,4651,0,0
2015-04-24,229.7,229.98,222.96,225.5,9841,0,0
2015-04-27,213.5,223.96,211.56,221.17,17131,0,0
2015-04-28,221.24,221.46,215.99,219.21,8911,0,0
2015-04-29,219.22,220.98,215.99,219.5,9701,0,0
2015-04-30,219.42,233.8,218.65,230.34,19381,0,0
2015-05-01,230.42,233.12,226.57,228.73,11411,0,0
2015-05-04,233.33,236.11,230.13,232.27,10901,0,0
2015-05-05,232.28,232.41,223.77,229.88,14881,0,0
2015-05-06,229.5,229.9,221.28,222.72,10461,0,0
2015-05-07,222.73,233.26,221.37,231.28,15231,0,0
2015-05-08,231.27,240.22,229.68,238.78,13571,0,0
2015-05-11,233.13,238.36,232.0,235.22,10631,0,0
2015-05-12,235.19,235.98,231.53,235.04,8751,0,0
2015-05-13,235.11,238.09,229.13,229.88,12691,0,0
2015-05-14,229.93,233.54,226.23,230.99,13561,0,0
2015-05-15,231.0,233.16,230.28,231.13,5631,0,0
2015-05-18,229.83,230.9,225.54,227.09,7981,0,0
2015-05-19,227.1,228.15,225.03,225.43,4571,0,0
2015-05-20,225.4,228.84,224.98,228.29,4831,0,0
2015-05-21,228.28,230.53,227.85,228.97,4671,0,0
2015-05-22,228.96,234.53,226.99,233.76,10281,0,0
2015-05-25,233.65,233.99,227.64,229.66,8711,0,0
2015-05-26,229.65,231.95,228.21,229.66,7471,0,0
2015-05-27,229.67,231.25,228.36,229.25,5361,0,0
2015-05-28,229.24,230.8,228.9,230.38,2661,0,0
2015-05-29,230.37,230.45,228.01,229.78,4291,0,0
2015-06-01,222.83,225.18,214.82,217.5,15391,0,0
2015-06-02,217.67,219.85,215.62,219.06,7071,0,0
2015-06-03,219.23,220.95,216.76,218.69,7841,0,0
2015-06-04,218.64,219.89,216.09,216.94,5901,0,0
2015-06-05,217.03,219.83,213.53,218.9,10731,0,0
2015-06-08,216.6,223.4,216.42,222.11,8451,0,0
2015-06-09,222.1,224.72,220.88,222.69,7091,0,0
2015-06-10,222.72,223.7,220.83,221.84,4861,0,0
2015-06-11,221.8,223.53,221.33,223.09,3111,0,0
