time,open,high,low,close,tick_volume,spread,real_volume
2001-06-04,266.5,268.4,264.6,266.0,711,0,0
2001-06-05,265.5,267.6,264.25,266.5,571,0,0
2001-06-06,266.0,268.3,264.8,266.5,651,0,0
2001-06-07,265.5,266.8,265.0,266.8,231,0,0
2001-06-08,266.3,275.5,265.6,274.0,1211,0,0
2001-06-11,273.0,274.25,266.1,268.4,1171,0,0
2001-06-12,267.8,273.25,266.6,272.0,911,0,0
2001-06-13,271.5,274.15,269.05,272.6,911,0,0
2001-06-14,272.15,277.4,270.45,276.25,981,0,0
2001-06-15,275.2,276.85,269.75,271.8,1081,0,0
2001-06-18,271.0,274.65,270.6,273.0,611,0,0
2001-06-19,272.15,275.5,271.55,273.9,616,0,0
2001-06-20,273.4,274.8,270.65,273.0,791,0,0
2001-06-21,272.5,274.65,270.85,273.2,691,0,0
2001-06-22,272.7,276.2,271.6,272.9,901,0,0
2001-06-25,272.3,275.65,272.15,274.2,511,0,0
2001-06-26,274.0,279.55,272.6,276.4,1151,0,0
2001-06-27,276.25,277.95,270.95,272.85,1061,0,0
2001-06-28,272.35,276.0,267.3,269.5,1456,0,0
2001-06-29,269.25,272.65,268.75,271.1,596,0,0
2001-07-02,270.6,271.45,267.4,269.8,731,0,0
2001-07-03,269.3,272.5,267.25,268.0,921,0,0
2001-07-04,267.5,269.15,267.15,268.2,331,0,0
2001-07-05,267.7,268.95,264.45,265.6,691,0,0
2001-07-06,265.1,267.9,264.15,266.5,611,0,0
2001-07-09,266.5,267.65,265.1,266.9,471,0,0
2001-07-10,266.4,268.25,265.6,266.6,511,0,0
2001-07-11,266.1,270.35,265.5,268.7,711,0,0
2001-07-12,268.75,269.25,265.25,267.1,636,0,0
2001-07-13,266.6,268.3,265.65,267.6,431,0,0
2001-07-16,266.95,269.75,266.25,267.75,621,0,0
2001-07-17,266.75,268.1,266.25,268.1,236,0,0
2001-07-18,268.1,271.6,266.75,271.0,681,0,0
2001-07-19,270.75,272.35,267.25,269.8,926,0,0
2001-07-20,268.75,271.85,268.35,270.3,546,0,0
2001-07-23,270.15,270.8,268.25,269.1,406,0,0
2001-07-24,268.6,270.65,267.95,270.0,401,0,0
2001-07-25,269.5,270.25,266.75,268.2,571,0,0
2001-07-26,267.5,269.0,265.35,266.7,651,0,0
2001-07-27,266.2,268.45,265.0,267.8,531,0,0
2001-07-30,267.6,268.75,264.45,265.5,651,0,0
2001-07-31,265.0,267.65,264.0,267.1,521,0,0
2001-08-01,266.6,269.25,265.9,268.2,511,0,0
2001-08-02,267.7,269.1,266.65,268.3,431,0,0
2001-08-03,267.8,269.55,266.25,268.8,561,0,0
2001-08-06,268.5,269.25,266.65,268.0,471,0,0
2001-08-07,267.15,268.45,265.75,267.9,466,0,0
2001-08-08,267.4,269.25,265.75,268.6,581,0,0
2001-08-09,267.6,273.9,266.6,273.9,831,0,0
2001-08-10,273.9,277.55,272.1,274.8,1001,0,0
2001-08-13,273.5,277.9,273.5,276.2,611,0,0
2001-08-14,275.2,276.5,273.0,276.5,571,0,0
2001-08-15,276.5,278.45,274.25,276.1,801,0,0
2001-08-16,275.6,277.35,274.15,275.6,641,0,0
2001-08-17,275.1,281.7,274.4,279.5,1021,0,0
2001-08-20,279.0,280.05,275.35,276.3,671,0,0
2001-08-21,275.8,279.0,273.45,275.3,1061,0,0
2001-08-22,274.8,278.55,273.95,275.0,901,0,0
2001-08-23,274.5,276.9,273.75,275.6,521,0,0
2001-08-24,275.1,276.35,271.55,273.1,761,0,0
2001-08-27,272.25,274.95,270.95,273.1,716,0,0
2001-08-28,272.55,273.25,270.15,272.55,621,0,0
2001-08-29,272.0,274.85,271.7,273.9,441,0,0
2001-08-30,273.0,275.05,271.75,275.05,456,0,0
2001-08-31,274.95,276.75,271.95,274.7,936,0,0
2001-09-03,274.45,274.95,272.6,273.75,401,0,0
2001-09-04,273.25,274.25,270.75,272.4,616,0,0
2001-09-05,271.55,273.25,270.7,272.3,436,0,0
2001-09-06,271.8,274.15,270.75,273.4,521,0,0
2001-09-07,272.9,275.25,271.7,273.4,661,0,0
2001-09-10,273.0,274.1,270.45,272.0,631,0,0
2001-09-11,271.5,296.0,270.8,287.0,3491,0,0
2001-09-12,286.0,293.0,275.5,278.5,2751,0,0
2001-09-13,278.0,284.0,275.5,281.5,1351,0,0
2001-09-14,281.0,291.0,278.0,285.8,2121,0,0
2001-09-17,288.0,296.0,283.75,290.5,2201,0,0
2001-09-18,289.4,292.0,285.12,288.0,1237,0,0
2001-09-19,287.5,293.3,286.0,290.4,1171,0,0
2001-09-20,289.9,291.5,286.9,288.9,821,0,0
2001-09-21,288.4,296.1,287.5,291.7,1391,0,0
2001-09-24,290.5,293.5,286.7,289.5,1261,0,0
2001-09-25,289.0,291.25,286.5,290.0,851,0,0
2001-09-26,289.5,294.4,286.75,293.3,1151,0,0
2001-09-27,292.8,293.93,288.5,292.2,1027,0,0
2001-09-28,291.7,294.65,289.4,293.45,876,0,0
2001-10-01,292.0,293.7,289.8,291.95,776,0,0
2001-10-02,291.45,293.5,288.3,289.7,866,0,0
2001-10-03,289.2,293.5,288.62,289.7,927,0,0
2001-10-04,289.2,292.7,288.1,290.1,831,0,0
2001-10-05,289.6,292.88,289.5,291.2,517,0,0
2001-10-08,290.75,294.62,290.2,292.15,745,0,0
2001-10-09,291.65,293.5,287.5,288.25,861,0,0
2001-10-10,287.75,291.25,283.5,285.1,1286,0,0
2001-10-11,284.6,288.7,279.7,281.5,1491,0,0
2001-10-12,282.2,286.6,281.0,284.7,871,0,0
2001-10-15,284.2,286.25,280.9,281.7,821,0,0
2001-10-16,281.3,284.25,280.3,281.6,761,0,0
2001-10-17,281.1,285.0,280.55,282.7,731,0,0
2001-10-18,282.2,284.3,277.3,279.7,1151,0,0
2001-10-19,279.2,283.6,277.2,279.9,1211,0,0
2001-10-22,279.4,280.0,274.7,275.8,701,0,0
2001-10-23,275.3,278.7,273.95,276.2,861,0,0
2001-10-24,275.7,277.2,274.77,275.6,477,0,0
2001-10-25,275.2,278.07,274.6,277.5,465,0,0
2001-10-26,276.5,278.4,276.0,277.6,371,0,0
2001-10-29,277.1,279.9,276.65,279.4,421,0,0
2001-10-30,278.9,282.0,278.6,280.75,496,0,0
2001-10-31,280.25,282.5,277.8,279.75,891,0,0
2001-11-01,279.25,281.8,278.15,279.9,666,0,0
2001-11-02,279.05,281.3,278.8,280.2,386,0,0
2001-11-05,279.7,280.65,277.35,279.3,621,0,0
2001-11-06,278.3,280.4,277.85,280.4,301,0,0
2001-11-07,280.25,281.6,278.6,281.0,526,0,0
2001-11-08,280.3,281.25,276.05,277.3,741,0,0
2001-11-09,276.8,280.8,276.0,277.95,846,0,0
2001-11-12,277.2,282.5,277.0,278.65,956,0,0
2001-11-13,278.15,280.6,275.6,277.8,966,0,0
2001-11-14,277.3,280.05,276.55,278.0,631,0,0
2001-11-15,277.6,278.6,274.15,275.6,691,0,0
2001-11-16,275.1,277.35,273.45,275.1,781,0,0
2001-11-19,274.6,276.25,271.85,273.0,721,0,0
2001-11-20,272.6,275.0,272.05,273.75,476,0,0
2001-11-21,273.0,274.35,271.7,273.4,491,0,0
2001-11-22,272.8,274.05,271.85,273.1,411,0,0
2001-11-23,272.6,273.9,272.0,273.15,326,0,0
2001-11-26,272.8,274.1,272.0,273.2,381,0,0
2001-11-27,272.8,274.4,272.25,273.7,341,0,0
2001-11-28,273.3,275.9,273.1,274.8,411,0,0
2001-11-29,274.2,276.35,273.05,274.5,631,0,0
2001-11-30,273.4,276.55,273.1,274.65,566,0,0
2001-12-03,274.15,278.7,274.0,277.6,596,0,0
2001-12-04,277.1,278.05,275.05,276.0,491,0,0
2001-12-05,275.5,277.1,273.25,274.7,691,0,0
2001-12-06,273.8,277.1,273.1,275.05,676,0,0
2001-12-07,274.0,275.75,273.25,274.8,421,0,0
2001-12-10,274.3,275.2,270.95,273.0,721,0,0
2001-12-11,272.6,273.75,271.35,273.1,431,0,0
2001-12-12,272.0,274.3,271.9,274.3,251,0,0
2001-12-13,273.8,274.25,273.25,274.25,156,0,0
2001-12-14,274.25,279.95,273.55,278.7,836,0,0
2001-12-17,277.35,279.3,276.15,278.6,506,0,0
2001-12-18,278.0,281.75,277.55,280.7,571,0,0
2001-12-19,280.2,280.8,274.85,276.4,811,0,0
2001-12-20,275.9,279.85,274.0,276.6,1101,0,0
2001-12-21,276.1,280.0,275.6,278.4,651,0,0
2001-12-24,277.7,279.38,276.9,278.3,437,0,0
2001-12-25,277.8,280.75,277.5,279.0,531,0,0
2001-12-26,278.5,280.5,277.7,279.5,461,0,0
2001-12-27,279.0,281.25,276.35,277.3,811,0,0
2001-12-28,276.8,278.8,275.55,276.8,651,0,0
2001-12-31,275.9,279.6,275.65,279.2,461,0,0
2002-01-01,278.2,278.7,276.7,278.7,351,0,0
